,POSITIVE,NEGATIVE
clarify,4,0
borrowing,3,3
soulsearchings,1,0
murdertrial,1,0
jury,6,0
unreason,1,0
sorely,8,1
peeled,2,0
lumet,14,0
laboratory,5,0
1957,9,0
mosaic,5,1
damaged,15,0
arguing,5,0
strained,4,6
confined,10,2
realworld,14,1
establish,17,0
fonda,26,1
argumentation,1,0
wcast,1,0
selfsaluting,1,0
muchdesired,1,0
mechanically,1,0
middlebrow,2,3
balsam,2,0
begley,1,0
warden,1,0
eg,1,0
marshall,2,1
scruple,1,0
antagonistic,2,0
groupthink,1,1
passe,1,1
nico,1,1
ambiente,1,0
esta,9,2
obraprima,2,0
possui,2,0
alcance,1,0
emocional,2,0
imensurvel,1,0
incrvel,1,0
tenha,1,1
sido,4,0
longametragem,2,0
oneroom,1,0
ungallant,1,0
distaff,5,0
spellbound,9,0
juror,1,0
middleaged,6,2
tautest,2,0
1982,2,3
verdict,6,0
heresy,3,0
composition,38,1
explored,21,0
91,2,0
deserved,30,8
occupies,5,0
message…,1,0
spilling,1,0
solidifies,11,0
forefront,7,0
threepeats,1,0
harder,36,5
bucking,1,0
skyhigh,5,0
primal,30,1
lofty,15,0
churning,6,3
inferior,11,5
straighttodvd,1,1
goodbye,45,1
subvert,9,0
ensured,3,0
goop,0,2
idealized,3,3
offset,13,3
pal,7,0
hilarity,21,8
adultbaby,1,0
conveyorbelt,1,0
ensues,2,1
affirms,8,2
stamped,3,2
astonish,4,1
blissful,9,0
barnburner,2,0
ostensibly,14,3
digimated,1,0
sadly,24,29
warned,6,6
actionwise,1,0
prisonbreak,3,0
butch,7,0
sundance,11,0
bacall,10,0
longawaited,7,0
tthis,2,0
wee,4,0
shrieking,3,2
mould,7,1
inviolable,1,0
passed,19,10
lengthy,30,1
devise,3,1
bid,9,4
adieu,2,0
teenaged,3,1
plop,2,2
spike,114,4
concise,9,2
ephemeral,8,2
joking,2,1
allusion,15,1
appreciation,35,1
singularly,7,1
maintained,13,0
1995s,2,1
demonstrating,8,0
unconditional,5,0
intellectualise,0,1
defend,7,2
muchheralded,1,0
mcqueens,27,4
hemmed,2,1
chirpier,1,0
manipulative,29,9
downer,8,2
threequels,5,0
obsolence,1,0
mileage,6,2
abound,11,2
filmpixar,1,0
teddy,2,0
sas,6,1
derring,2,0
cousin,10,1
impecable,2,0
producción,2,0
todos,4,0
sentidos,1,0
embargo,1,0
versión,1,0
menos,2,0
blanca,1,0
más,7,0
cargada,2,0
dramatismo,1,0
para,24,4
adultos,1,1
niños,1,0
valedictory,4,0
renewal,4,0
stuffing,1,1
entertains,33,3
enrapture,2,0
nobel,3,1
rummage,2,0
fringe,3,0
overdue,14,0
rescued,5,0
sequelling,1,0
sadder,3,0
symptom,5,3
sequelitis,3,0
tendency,17,5
oneself,9,0
retained,1,1
nip,1,0
tuck,5,1
unbreakable,8,1
38,2,0
penned,6,2
arndt,4,0
sunshine,49,6
criticproof,2,1
assemblage,7,2
pleasurably,4,0
graded,2,0
curve,6,2
scariness,2,1
weightless,10,1
worn,13,4
bonus,16,1
groundswell,1,0
abandoned,10,1
jailbreak,3,0
wrapup,3,1
summation,6,0
nowtrademark,1,0
threequel,12,0
progression,11,5
ache,20,0
capping,2,0
truck,12,3
injected,14,1
personalitydriven,1,0
wrenching,28,0
deftness,4,0
moreso,1,0
toysoh,1,0
disneyland,1,0
prerequisite,1,0
refinement,4,2
utilizing,16,0
crayon,1,1
onceeveryfiveyears,1,0
answered,7,1
overarching,8,0
traffic,67,8
hater,9,2
cheered,3,4
ts3,2,0
misunderstood,3,1
useless,3,5
godot,2,0
lego,113,4
hitandmiss,1,1
rallying,4,1
tina,12,0
turner,16,0
forlorn,6,0
storya,3,1
logical,16,3
besotted,1,1
productplacement,0,1
usefulness,0,1
consumerism,5,2
split,12,5
cleverest,8,0
conjured,7,2
dazzlement,3,0
handkerchief,4,1
gleaming,8,1
hightech,11,4
lowtech,2,0
oftamusing,1,0
grated,4,1
briefly,10,3
footing,9,1
4,308,8
bummer,4,1
tying,6,2
mastermind,2,0
confess,4,2
preparing,6,0
bawling,1,0
ken,22,2
lotso,1,0
ned,2,0
beatty,2,0
avuncular,2,0
network,109,6
quintessence,1,0
himboism,1,0
flown,2,0
blizzard,1,0
tissue,24,1
capstone,8,0
coscripted,3,0
readdressing,1,0
fearofabandonment,1,0
brazenly,3,1
fulfillment,10,2
highwater,10,0
voodoo,3,1
defending,3,0
forgiveness,18,0
conundrum,12,0
pushpull,2,0
charmfortunately,1,0
matured,12,0
complimentary,1,0
yep,2,1
4years,1,0
94years,1,0
assertion,4,0
cycle,33,5
temporarily,3,0
smilingthroughtears,2,0
edifying,3,1
undertow,9,0
topthree,1,0
surefire,9,2
candidate,22,10
oftmisused,1,0
afterword,1,0
giggleinducing,2,1
duplicitous,2,0
doll,6,3
vending,1,0
gambling,2,0
den,4,2
incorrigible,2,0
deposited,1,0
detailwith,1,0
resolved,10,3
motley,2,0
grabbing,6,0
sooner,5,6
scenestealers,1,0
spice,11,4
sendoff,21,1
dissonance,4,0
sketchy,5,1
rous,3,0
rung,2,0
smileinducing,2,0
dissipated,3,0
hardsell,1,1
fate,47,3
15year,1,0
junk,9,23
impermanence,1,1
stubborn,3,1
foolish,8,4
kidflick,1,0
interfere,4,0
endearingly,10,1
outpouring,3,0
obligation,18,0
zany,15,3
trotting,2,0
sending,7,2
indicative,4,0
cherry,6,3
sundae,2,0
encapsulating,3,0
fearless,27,2
uncomplicated,6,0
adoration,7,1
illworn,1,0
playmate,2,0
wellearned,7,0
bestsustained,1,0
boost,12,1
andys,2,0
uneven,31,20
allpurpose,1,0
bearbut,1,0
hallowed,3,0
flabbergasted,1,1
crowning,21,0
toybox,3,0
bestrealized,1,0
rounding,3,0
unabated,1,1
furthest,2,0
pose,15,8
progenitorsa,1,0
hunk,6,4
cylinder,25,0
montanharussa,1,0
inveja,1,0
muitos,1,0
projetos,1,0
voltados,1,0
público,1,0
adulto,1,0
locating,3,2
peppy,2,0
goad,1,0
justaseager,1,0
tertiary,1,0
nonessential,2,0
toying,8,0
lest,4,1
coldblooded,10,0
blackest,9,0
selfportraits,1,0
discarded,3,1
ingrown,1,0
swanson,19,0
gloria,12,1
holden,12,0
unbearably,14,2
mania,5,2
sardonically,3,0
enliven,3,1
decay,12,0
narcissus,1,0
fallen,11,4
wool,3,0
quibble,15,0
plausibility,3,0
norma,7,0
desmond,5,0
luxurious,4,0
seclusion,1,0
colony,2,0
hungering,1,0
refrain,4,0
oldster,5,0
bemuse,1,0
brackett,4,0
writerdirectorproducer,1,0
overshadowed,5,2
von,8,0
stroheim,3,0
sadfaced,1,0
fingertip,2,0
import,15,0
purport,2,6
hollow,16,16
genuflecting,0,1
marquee,8,1
decadence,7,0
methodical,4,0
filtered,11,0
haversham,1,0
persuades,2,0
firsthand,8,0
pulsing,6,0
callous,6,1
erich,4,0
etches,2,0
loyal,12,1
bitterness,11,0
hardness,1,0
gown,3,0
unquestionable,3,0
gillis,1,0
opportunism,3,0
cowardice,5,2
appallingly,2,0
manifested,4,0
accommodation,1,0
ramification,6,0
drug,63,10
addict,5,0
coldly,2,1
spiderish,1,0
exqueen,1,0
hack,8,9
milliondollar,1,1
conception,20,2
havisham,1,0
glitteringly,1,0
weaving,12,0
gothic,40,2
noras,1,0
decrepit,2,0
unable,15,8
awaiting,3,1
frightful,5,2
holdens,1,0
naturalistic,28,2
honesttogoodness,4,0
unaware,2,1
beside,6,0
coscripter,1,0
dm,2,0
marshman,1,0
disregarding,2,0
scabscratching,1,0
bily,1,0
phase,13,2
cynically,2,1
aura,10,1
hollywoodonhollywood,1,0
mulholland,1,0
thenunprecedented,1,0
throwing,20,6
velvet,4,1
unimpeachable,4,0
fugue,2,0
baboon,1,0
scalding,3,0
selfsickened,1,0
desmonds,1,0
boytoyhired,1,0
burnout,1,0
surmounts,1,0
circus,19,5
altering,2,0
shuttle,2,0
lightning,21,1
wart,8,0
appalling,12,10
transitory,3,0
withstood,1,0
96,3,1
acclaimed,14,3
filmnoir,1,0
consuming,4,0
impersonation,15,6
cobbled,2,4
coco,159,7
proposal,12,0
stripping,6,1
mandate,4,0
legacy…,1,0
thoughtfully,10,0
miseenscène,1,0
sniffle,3,0
ample,21,1
spotify,1,0
selfdiscovery,14,1
mexican,34,2
saccharine,18,2
respecting,5,0
jokey,7,2
funloving,2,0
sumptuously,6,2
tenderly,7,1
latinamerican,1,0
notorious,7,2
antimexican,1,0
appreciating,10,3
familycentered,1,0
tad,18,2
funpacked,1,0
extended,32,7
wrought,19,1
ranchera,1,0
excites,8,1
metaphysical,16,2
slant,2,0
ruminative,4,0
fam,1,0
scheduled,5,0
candycolored,10,0
stall,2,1
2017,35,4
grooving,1,0
resolution,29,2
heartening,12,0
generosity,14,2
heritage,19,2
elegantly,24,0
grininducing,1,0
miguels,6,0
mexico,15,0
melody,8,1
earworm,2,0
moneygrabbing,1,0
decidedly,22,8
cumbersome,4,1
vivified,1,0
finery,1,0
festive,11,0
hyperkinetic,4,0
educative,1,0
processing,3,0
generalization,2,1
increasing,11,1
hispanic,3,0
population,4,0
unkrichs,2,0
2nd,1,0
wholesome,16,0
mariachi,2,0
guitarrón,1,0
sunny,17,0
optimism,42,0
allembracing,3,0
echelon,6,0
crass,9,11
unite,6,0
border,25,7
graveyard,2,1
afterlife,11,0
morbid,19,4
unkrich,7,0
adrian,4,0
molina,6,0
jovial,4,0
shedding,8,0
peppered,10,2
refreshingly,42,1
joyfulness,1,0
luminous,26,0
musically,2,0
eyecatching,5,0
honouring,3,0
galloping,3,0
limitless,9,2
scan,4,2
standardbearer,3,1
misfire,7,23
dinosaur,5,1
barrelscraping,1,0
timethe,1,0
movieby,1,0
mess,29,87
dos,15,4
transforming,16,1
advancing,4,0
kleenex,4,0
wipeout,2,0
desired,7,5
nonfranchise,3,0
lacklustre,5,4
victorious,6,0
dearest,3,1
necropolis,1,0
miguel,6,0
heaving,2,0
labyrinthcoco,1,0
introducing,18,2
partypooping,1,0
22,18,2
expressively,3,0
spiritraising,1,0
singlehandedly,11,0
atones,1,0
poco,2,0
loco,2,0
subplot,7,2
ancillary,1,2
hearttugging,5,1
frida,2,0
kahlo,1,0
earworms,3,0
reaper,2,0
communicated,2,1
properly,20,5
exploding,10,3
celebrating,21,0
met,16,2
speculative,3,0
slot,3,0
deja,2,1
concert,6,1
acknowledging,3,1
lucrative,13,0
nearest,4,2
netherworld,4,0
ultraadorable,1,0
hyperclumsy,1,0
sidekick,8,3
redeemable,1,1
pero,11,1
también,4,0
interesante,2,0
fertile,12,0
cherishing,4,0
idol,6,2
astoundingly,6,7
sanguine,2,1
zippily,1,0
slipslides,1,0
faithfully,10,1
custom,11,0
muertos,4,0
strumming,2,0
behaved,0,1
folklorism,1,0
avalanche,3,1
109,2,0
inherently,9,3
importancia,1,0
familia,1,0
celebrational,1,0
alzheimers,1,2
marjorie,1,0
enter,14,3
accused,7,2
minority,9,7
dumbing,3,1
allegation,1,1
educational,6,2
virtuoso,27,2
gratitude,8,1
forging,7,2
adrián,1,0
documentation,2,0
8,24,2
squeamish,9,1
freaked,2,0
bridge,91,3
latin,2,1
healthier,2,2
jason,47,27
katz,1,0
matthew,12,7
aldrich,1,0
fullsize,1,0
cutandpasted,1,0
effortsits,1,0
pillage,1,0
cruzs,2,0
thanksgiving,6,2
intergenerational,5,0
cuckoo,26,4
experiencing,16,2
méxico,1,0
cantinflas,1,0
santo,1,0
array,20,4
peso,1,0
fatally,3,5
undermine,4,1
blew,6,0
firstever,4,0
alllatino,1,0
trapping,17,6
expansion,3,1
manifest,11,4
famed,9,0
prompt,7,0
ofrenda,1,0
steampunk,2,0
metropolis,37,2
futuristic,17,2
highrises,1,0
cutest,3,0
spiritcritters,1,0
blame,11,14
roughly,4,1
butcocois,1,0
ablaze,3,0
boneshaking,1,0
warmest,10,0
serape,1,0
waterworks,1,0
sonoran,1,0
guitar,9,3
opposition,6,0
cared,9,2
celebrate,19,1
liveliest,3,0
linking,5,1
encourage,9,4
ponder,15,2
blinding,3,0
sequelswith,1,0
clearer,5,1
rebound,2,0
spangly,1,0
fiesta,2,0
resplendent,6,0
someplace,2,0
dayofthedead,1,0
vibrancy,6,0
speculate,2,0
ancestor,2,0
celebratory,6,0
harmonious,8,0
ambitionthe,1,0
familyand,2,0
familiarbut,1,0
confection,21,2
ambiance,4,0
hadnt,15,4
emanating,4,0
deficiency,6,1
earn,20,8
midtier,0,1
irrefutably,1,0
quo,11,0
spooky,16,3
collide,12,0
19th,10,0
titled,7,7
twentieth,3,2
allamerican,7,0
fizzy,5,1
smallfry,2,0
empowering,14,0
explosively,5,0
aldrichs,1,0
distract,8,2
overlooked,23,1
ghoulish,11,3
mordant,9,2
ethnicity,4,0
danielle,1,1
fienberg,0,1
outshone,0,1
derivative,13,39
delightfuland,1,0
valuesbased,1,0
boysadventure,1,0
purgatorial,1,0
destiny,17,4
warrant,16,8
computerdrawn,2,0
elaboration,1,1
startle,5,0
onea,1,0
bonedeep,1,0
remembrance,6,0
reanimates,1,0
secures,2,0
materialize,1,1
timetested,1,0
roving,4,0
erudition,3,0
dayglo,1,0
firecracker,4,0
maligned,2,0
adored,4,0
ironically,21,4
slickness,4,4
freshfeeling,1,0
authentically,13,0
plucked,2,0
tamale,0,1
sombrero,0,1
tequila,0,1
splendiferous,3,0
segment,12,2
greatgrandmother,1,0
mama,3,2
duct,8,1
workout,5,1
kidfriendly,11,1
surrealist,10,1
recurring,3,0
kahlos,1,0
unibrow,1,0
goofy,30,8
impeccablethe,1,0
tacking,2,1
sandbag,1,0
pool,8,6
hustler,4,0
irreplaceable,3,0
alternate,14,4
photo,5,2
customary,7,0
reduce,7,4
pudding,1,2
freerange,1,0
english,34,5
encantadora,1,0
ghiblis,3,0
semispooky,1,0
milieu,16,2
unwelcome,2,0
instaclassic,1,0
captivatingly,2,0
profundity,17,6
graceful,37,1
desperation,22,12
99,2,0
día,1,0
standalones,1,0
wellrealized,2,0
rebellious,14,2
national,37,15
data,2,0
phrase,21,3
reductionism,1,0
fruitful,1,0
fetching,3,5
comparably,1,1
acumen,3,0
surest,2,0
unraveling,5,0
intertwined,3,0
civilised,2,0
dearly,5,0
furnished,3,0
fullyfashioned,1,0
sympathetic,42,3
unsympathetic,4,2
machismominded,1,0
worshiping,1,0
tribal,2,0
virility,2,0
strasberg,2,0
meyer,1,3
lansky,1,0
despairing,11,0
niro,60,11
adolini,1,0
nee,1,1
acknowledgement,7,0
greediness,0,1
avarice,3,1
migrant,3,0
piety,3,0
intermittently,8,2
illfated,2,0
plotheavy,1,0
aimless,3,7
annoyingly,2,4
gangsterism,0,1
boredom,8,12
surrounded,16,5
dramatis,1,0
chillier,1,0
briskness,2,0
revenue,2,0
tested,8,1
underbelly,7,0
menacing,14,0
commanding,16,2
14,5,1
organized,13,0
axiomatic,2,0
jackpot,2,0
showmanship,9,0
scaled,2,0
demonstrably,2,1
patriarchal,5,0
ate,2,0
200minute,1,0
capo,1,0
di,4,0
tutti,1,0
capi,1,0
boss,3,0
maneuvering,3,0
grudge,1,2
complementing,1,0
prequel,13,0
trifecta,7,1
magisterial,7,0
halfway,9,6
sustains,13,1
assurance,18,0
bloodletting,4,3
bloodshed,6,1
scheming,4,0
counterscheming,1,0
fewer,12,4
necessity,17,1
pale,12,10
dirge,2,0
mantle,11,0
analyzing,3,0
mentality,7,4
pervert,2,1
united,24,3
somebody,14,12
familysnapshot,0,1
flees,3,1
sicily,2,0
dw,2,0
griffith,5,0
coup,8,0
cinma,2,0
elliptical,5,0
intoxicates,2,0
niros,27,2
meditative,14,0
soulstarved,1,0
corrupting,4,0
broader,15,1
unflinching,39,3
hyman,1,0
roth,1,8
suggestive,3,1
muchlauded,1,1
profit,8,2
greenlight,1,0
bastardize,1,0
lurk,5,0
recapture,7,1
segundo,1,0
mxima,1,1
memorably,10,0
stately,8,0
plausible,16,5
organised,3,0
singlemindedness,2,0
prologue,8,0
epilogue,13,0
frankenstein,18,3
stitched,3,6
leftover,3,3
pintura,1,0
fantstica,1,0
detallada,1,0
naturaleza,1,0
mal,4,3
expanded,8,0
faithfulness,5,0
spawned,10,1
pillar,4,0
forgiving,5,1
unshakable,6,0
supernatural,14,24
insoluble,1,0
antiromance,1,0
insurmountable,5,0
frosty,4,1
ruddy,2,0
equality,12,0
fraternity,3,0
affirmed,4,0
tie,28,2
valentine,15,2
kieślowski,3,0
pluck,8,0
harm,7,1
bestowed,3,0
facile,4,1
bump,14,4
easier,13,12
prey,11,3
kieślowskis,1,0
microcosmic,2,0
scrutiny,11,3
sans,7,3
krzysztof,9,0
kieslowski,23,0
culmination,22,0
oneonone,3,0
philosophically,4,1
interconnected,5,0
scored,12,2
kiewsloskis,1,0
warmer,4,0
jacob,25,0
trintingnants,1,0
earthshaking,3,0
stirringly,3,0
bestows,1,0
aural,7,1
reeling,12,0
redeeming,10,13
undaunted,2,0
valence,1,0
shapely,2,0
correctly,3,0
intuition,4,1
oyelowo,29,2
duvernay,37,1
marker,5,0
welldone,5,0
hagiography,3,1
simplification,1,0
dr,63,7
luther,24,0
reflect,23,6
selma,130,0
1964,16,0
civil,62,2
prickle,1,0
assassination,5,2
biopic,137,18
affective,4,0
orchestral,5,1
awardworthy,10,0
supplement,2,0
undertaking,10,2
hopefully,29,5
clap,9,1
shaken,19,1
superblyrealized,1,0
webb,12,0
trial,17,2
nostalgically,3,0
illustrious,5,0
activist,15,4
responsive,1,0
permeate,3,0
riposte,5,1
shared,27,2
ava,25,1
welldocumented,2,1
oscarizable,1,0
polyphonic,1,0
agent,40,9
confronted,4,2
humansized,2,0
promotion,4,1
interracial,7,0
imposed,7,1
resume,8,2
duvernays,20,1
halting,2,1
racist,19,7
dramatize,1,1
widescale,1,0
entail,4,1
fbi,7,1
pocket,6,2
rebellion,10,1
transcendence,9,3
hardship,16,0
reduced,7,12
outraged,6,1
oyelowos,7,0
copyright,1,2
unsatisfactory,2,0
imprecise,1,0
alwaysgripping,1,0
oftenbruising,1,0
contextualizes,2,0
steer,13,1
education,18,3
thiis,1,0
duvernarys,1,0
security,9,1
slapping,2,1
biography,24,1
mid60s,2,0
reenactmentit,1,0
barred,4,1
missive,1,0
fought,12,2
bradford,6,0
astonishingly,23,4
momentousness,1,0
stumble,17,8
sausagemaking,1,0
scrambled,0,2
clumsy,10,20
flabby,3,3
exasperated,4,1
insist,4,1
racially,9,1
motivating,2,1
misrepresented,1,0
forbearing,1,0
martyr,4,0
reckoning,127,5
arrest,3,0
erupt,4,0
bill,53,5
revers,3,0
erasure,2,0
tasteful,8,3
sacred,13,0
cow,6,3
couldve,12,12
sacha,1,0
baron,1,0
harvard,4,1
vandross,1,0
discrete,1,1
safely,8,3
sideline,3,2
muscling,1,0
middling,3,5
bending,7,1
2014,26,3
absorbingly,3,0
nonviolent,3,0
activism,5,0
practice,18,2
sacrificed,5,1
sketch,10,20
factional,1,0
liberal,21,5
conservative,7,2
hashtag,1,0
dramatizes,5,1
skilfully,17,0
nonviolence,2,0
evasion,1,0
mismanaged,1,1
modest,46,3
efficiently,11,2
dignified,7,1
oyewolo,1,0
incandescent,5,0
tactical,3,0
rhetorical,4,0
trivia,2,0
salem,3,2
anagram,1,0
17th,2,0
witch,9,1
bigoted,4,0
classically,11,0
trained,6,1
physicality,15,0
pastor,1,0
humanitarian,2,0
aspire,16,1
campaigner,1,0
civilrights,4,0
underrepresented,2,0
baffling,8,6
transmogrifies,1,0
selfdoubt,6,0
pomp,8,0
mlk,4,0
platform,7,2
accentuates,2,0
address,32,3
aggressively,3,6
lincoln,3,7
grandiosity,8,1
soggy,2,5
sermonette,0,1
alabama,2,0
montgomery,1,0
bafta,1,0
sizable,6,1
awardsworthy,4,1
soaringly,3,0
oratory,1,0
eschews,11,1
iniquitously,1,0
mindful,3,1
impassable,1,0
danced,3,0
fred,72,7
astair,1,0
intractable,2,0
racial,80,8
beginner,1,0
explicate,1,0
christian,42,13
relied,2,3
corridor,4,0
wellmeaning,6,1
undetermined,1,0
needle,11,6
momentous,12,0
succinctly,2,0
articulate,15,0
baldfaced,1,0
august,1,3
johnson,178,5
phenomenally,4,0
enrage,1,0
enlighten,5,0
plastersaint,1,0
cocoon,1,0
rev,4,1
reverberating,2,0
perserverance,1,0
heated,4,0
founded,4,1
communal,5,0
motivated,3,2
voting,1,0
impediment,7,1
wakeup,6,0
oprahendorsed,1,0
kingsize,2,0
tucked,5,1
wellintentioned,5,1
underwhelming,4,13
schmaltz,10,1
rebuke,9,3
hollywoodized,1,0
lyndon,2,0
obstructionist,1,0
protestors,1,0
organizing,3,1
abounds,4,0
reignited,2,0
discipline,8,0
wrangling,6,0
maintain,26,4
understandable,10,4
priority,6,2
continuum,4,1
grieving,4,0
paintbynumbers,3,5
mlks,1,1
firepower,5,0
wouldve,11,3
recreated,8,0
policy,8,2
raindrop,1,0
forming,4,1
groundshaking,1,0
thunderstorm,4,1
immediate,27,2
encased,2,0
unrest,4,0
deeplyfelt,3,0
timelinessstill,1,0
firsttime,25,6
relevancy,6,0
adulatory,1,1
greatman,3,0
proponent,2,1
positioning,4,0
goodforyou,1,0
syllabusready,1,0
affront,1,1
flexibility,1,0
birmingham,4,1
edmund,1,1
pettus,1,0
somber,25,0
distressingly,2,2
compatriot,3,0
marcher,1,0
spurred,3,0
righted,2,0
indignity,8,3
controversy,6,2
occurred,3,1
duvernaywisely,1,0
secular,2,1
contemplate,8,3
undivided,2,0
overreach,1,0
slightest,11,5
righteously,2,0
redefines,11,0
handinhand,1,0
lucid,11,0
stolid,3,0
shrift,3,0
selfemancipation,1,0
rudimentary,3,2
tipping,3,1
emotionallygripping,2,0
souptonuts,1,0
du,22,1
vernays,1,0
workand,1,0
matterlies,1,0
incisively,4,0
turbulent,13,0
proprietor,1,0
passioninspiring,1,0
levelheaded,3,0
biographical,14,3
locked,18,3
jail,1,1
principle,14,2
harmony,21,0
populous,2,0
heed,2,1
meditate,3,0
chuck,7,7
debuting,3,0
toggle,2,1
lifeless,3,20
hang,38,7
showcasing,15,0
planned,14,3
unplanned,3,0
barometer,1,0
reproach,4,1
votingrights,1,0
deity,1,0
extends,8,0
nutritious,2,1
countryand,1,0
retellingboth,1,0
brutalreally,1,0
pbsworthy,1,0
inspirationalmovie,1,0
gruntwork,1,0
sixty,6,0
dramatised,1,0
unnervingly,5,0
stuffiness,3,0
concentrating,3,0
pinpoint,7,2
browbeaten,1,0
erecting,2,0
quicksilver,4,0
decisionmaking,1,1
sinew,4,0
reassurance,5,0
crusade,5,0
correspondence,1,0
snatched,2,0
posse,34,4
awake,6,2
zootopia,100,4
otherization,1,0
prevalent,2,0
movie…,1,0
overt,14,2
construed,1,0
layout,2,0
multiculturalism,4,0
reluctant,12,0
transposed,1,0
adulthood,21,1
judy,22,0
frolicking,1,0
strove,2,0
base,17,9
angel,19,4
hair,35,7
fur,9,0
squeallevel,1,0
nausea,1,2
praising,1,4
coinflip,1,0
reinforce,4,0
sometime,4,4
glimmering,2,0
beacon,8,1
competent,21,8
zootropolis,6,0
anthropomorphized,4,0
timefiller,1,0
hurdle,4,0
bateman,9,0
fabulously,11,1
elsa,1,1
frozen,15,2
dethroned,1,0
thinlyveiled,1,0
patently,3,2
relay,2,0
inheriting,2,0
foster,73,4
isthe,2,0
movieit,2,0
kidnap,3,2
clamp,1,0
eyelid,3,3
clockwork,7,1
orange,7,5
loop,5,5
voicework,4,0
ginnifer,4,0
goodwin,4,0
idris,3,0
elba,2,0
posed,6,0
roost,2,0
moralize,1,0
bust,6,3
postoscar,1,0
presummer,1,0
perturbed,1,0
zootopias,2,0
sociopolitical,21,2
fourfooted,1,0
buddycop,6,0
zooptopia,1,0
hallucinatory,13,0
undertheradar,1,0
smartaleckiness,1,0
unassuming,15,1
motored,2,0
voicecast,2,0
byron,3,0
moore,9,8
jared,1,0
bush,6,3
dmv,2,2
forgivable,3,1
farmtype,1,0
sexism,4,0
fearbased,1,0
kingdom,13,2
debt,13,2
orwell,5,0
aesop,1,0
convenient,6,1
overtone,11,1
broach,1,0
alltoohuman,1,1
stereotyping,8,1
plota,1,0
specie,13,2
cheerfully,8,2
anthropomorphised,1,0
farm,10,3
contratrumpian,1,0
raceconscious,1,0
politicalconspiracy,1,0
talkinganimal,1,0
plasteredover,0,1
judging,8,0
angeleslike,1,0
empowerment,16,0
stretching,7,0
useful,8,1
familyfun,1,0
rookie,5,1
crim,1,0
crook,11,0
stridency,1,0
initiative,1,0
restriction,4,0
wreckit,2,0
franchiselauncher,1,0
zooniverse,1,0
aback,1,1
falling,41,7
dressed,10,8
gagpacked,1,0
inventively,7,0
trumpism,1,0
slothrelated,1,0
greatlooking,4,1
predator,4,2
encouragingly,1,0
stratification,1,0
defensive,3,1
denial,3,2
anthropomorphisation,1,0
realistically,11,0
trigger,5,4
allergy,1,0
sub,3,0
disconcerting,3,1
reciprocal,1,0
secretly,4,2
safest,1,0
minded,4,1
integration,1,0
savour,10,0
humanfree,2,0
mammal,1,0
evolved,7,0
bustling,7,0
decode,2,0
gooey,6,0
groupie,2,0
bumpersticker,1,0
zingy,3,1
sloth,4,2
elastic,4,0
pacy,3,0
racy,7,1
disrespect,2,0
hue,7,1
flavour,5,0
comprehensive,3,0
inhabiting,7,1
furryious,1,0
foxbunny,1,0
shakira,1,0
gazelle,1,0
communism,3,0
intolerance,5,0
idealised,1,0
shane,5,0
ahem,4,0
profiling,4,0
stumbled,6,0
overreaching,1,0
inclusiveness,2,0
swear,4,4
spunky,10,0
splice,8,3
zesty,5,1
welltuned,2,0
mouse,14,3
intrepid,5,1
comedypolice,1,0
fidgeting,1,0
buoy,4,0
highconcept,10,8
shaping,6,1
orwellian,6,0
clarion,1,0
arriving,11,1
promotes,7,1
behemoth,7,0
nextlevel,4,0
counter,10,0
atypical,4,0
automobile,6,2
restates,2,0
loling,1,0
cagey,5,2
largeeyed,1,0
mashed,3,1
teems,3,0
stretchandsquash,1,0
motor,5,3
december,2,0
princeandprincess,1,0
headon,4,0
subversively,3,0
indirect,2,0
animalbased,1,0
wolf,13,3
sheep,4,2
buddyanimal,1,0
frozenstyle,1,0
rotation,5,0
rejecting,2,1
kidflicks,1,0
polemic,8,1
candycoated,1,1
tiger,9,4
preconceived,4,0
contain,13,3
howl,9,1
troubling,19,1
middleoftheroad,3,1
scream,32,5
loser,4,6
knockdown,1,0
reconcile,6,0
agreeable,11,1
hodgepodge,4,8
raceandethnicity,1,0
yootopia,1,0
crossfertilize,1,0
selfparody,3,1
seeps,5,0
livestheyve,1,0
sag,3,0
muddled,8,20
prodiversity,1,0
goodcop,1,0
hopps,1,0
conartist,2,0
nick,28,12
wilde,2,1
turf,4,1
indication,6,4
slamdunk,5,1
stuffy,2,2
retrodisney,1,0
nifty,16,1
wittily,9,0
onpoint,4,0
hippopotamus,1,0
panic,20,2
diningroom,1,0
bullying,5,0
attempting,12,6
reaffirmation,1,0
slows,11,0
oops,1,3
monkeyshines,1,0
fuzzier,1,0
cuddlier,1,0
thorny,5,1
structural,6,1
iq,4,2
fuzzies,1,1
sold,12,10
repeatedviewingsrewarded,1,0
sampled,1,0
drastic,5,0
biome,1,0
zoobooks,1,0
married,9,1
longheld,3,0
harmoniousness,1,0
allegorizing,1,0
brighteyed,2,0
bushytailed,1,0
longeared,1,0
heavyhandedly,1,0
hamster,1,0
businessmen,3,0
polar,3,1
bodyguard,2,0
xenofobia,1,0
colorfully,1,0
preach,6,0
crimesolving,1,0
resides,5,1
decrying,1,0
amalgamation,4,1
underworld,9,3
spawning,3,0
stripe,4,0
mélange,4,0
deffinately,2,0
greates,1,0
fascinatingly,5,1
disneyowned,1,0
dolphin,1,0
bull,60,15
noirish,6,0
undertone,14,1
wining,1,0
betruetoyourself,1,0
